Name,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre
Grand Theft Auto V,2013,21.04,97,8.2,Action
Call of Duty: Black Ops II,2012,13.79,83,5.3,Shooter
Call of Duty: Modern Warfare 3,2011,13.32,88,3.2,Shooter
Call of Duty: Black Ops,2010,12.63,88,6.4,Shooter
Gran Turismo 5,2010,10.7,84,7.5,Racing
Call of Duty: Modern Warfare 2,2009,10.6,94,6.3,Shooter
Grand Theft Auto IV,2008,10.5,98,7.5,Action
Call of Duty: Ghosts,2013,9.36,71,2.6,Shooter
FIFA Soccer 13,2012,8.16,88,6.6,Action
Battlefield 3,2011,7.17,85,7.5,Shooter
Uncharted 3: Drake's Deception,2011,6.74,92,8.3,Action
Call of Duty 4: Modern Warfare,2007,6.68,94,8.4,Shooter
Uncharted 2: Among Thieves,2009,6.66,96,8.8,Action
Red Dead Redemption,2010,6.49,95,8.8,Action
FIFA 14,2013,6.47,86,4.3,Sports
Assassin's Creed III,2012,6.45,85,6.9,Action
The Elder Scrolls V: Skyrim,2011,6.41,92,6.4,Role-Playing
Metal Gear Solid 4: Guns of the Patriots,2008,5.99,94,8.7,Action
The Last of Us,2013,5.87,95,9.1,Action
LittleBigPlanet,2008,5.82,95,6.8,Platform
Assassin's Creed II,2009,5.55,91,8.6,Action
Batman: Arkham City,2011,5.48,96,8.6,Action
Call of Duty: World at War,2008,5.39,85,7.6,Shooter
Final Fantasy XIII,2009,5.33,83,7.3,Role-Playing
Resident Evil 5,2009,5.09,84,7.5,Action
FIFA Soccer 11,2010,5.07,89,8.0,Sports
Uncharted: Drake's Fortune,2007,4.92,88,8.1,Action
Assassin's Creed,2007,4.82,81,7.3,Adventure
God of War III,2010,4.8,92,8.7,Action
Resistance: Fall of Man,2006,4.34,86,8.1,Shooter
Batman: Arkham Asylum,2009,4.23,91,8.9,Action
Assassin's Creed: Revelations,2011,4.22,80,7.5,Action
Gran Turismo 5 Prologue,2007,4.19,80,7.1,Racing
Street Fighter IV,2009,4.16,94,7.3,Fighting
Fallout 3,2008,3.94,90,8.0,Role-Playing
MotorStorm,2006,3.87,84,7.4,Racing
Sports Champions,2010,3.84,76,7.9,Sports
Assassin's Creed IV: Black Flag,2013,3.71,88,8.1,Action
FIFA Soccer 10,2009,3.62,91,7.6,Sports
Battlefield 4,2013,3.49,80,5.8,Shooter
LittleBigPlanet 2,2011,3.39,91,8.4,Platform
Far Cry 3,2012,3.35,90,8.5,Shooter
Gran Turismo 6,2013,3.23,81,7.7,Racing
L.A. Noire,2011,3.17,89,7.7,Adventure
Fallout: New Vegas,2010,3.11,82,7.8,Role-Playing
The Elder Scrolls IV: Oblivion,2007,3.1,93,8.0,Role-Playing
Resident Evil 6,2012,3.1,74,5.4,Shooter
Heavy Rain,2010,3.03,87,7.7,Adventure
Killzone 2,2009,3.01,91,8.1,Shooter
Battlefield: Bad Company 2,2010,2.95,88,8.5,Shooter
inFAMOUS,2009,2.93,85,8.3,Action
Mortal Kombat,2011,2.84,84,8.4,Fighting
Assassin's Creed: Brotherhood,2010,2.82,90,8.2,Action
Medal of Honor,2010,2.81,75,7.5,Shooter
Need for Speed: Hot Pursuit,2010,2.78,89,7.2,Racing
Killzone 3,2011,2.77,84,7.9,Shooter
Tekken 6,2009,2.75,79,7.4,Fighting
Need for Speed: Shift,2009,2.65,84,6.9,Racing
Final Fantasy XIII-2,2011,2.63,79,6.6,Role-Playing
God of War Collection,2009,2.6,91,8.7,Action
FIFA Soccer 09,2008,2.58,87,7.5,Sports
Madden NFL 13,2012,2.56,83,5.5,Sports
NBA 2K13,2012,2.47,90,8.0,Sports
Saints Row: The Third,2011,2.47,82,7.7,Action
Resistance 2,2008,2.46,87,6.1,Shooter
Midnight Club: Los Angeles,2008,2.45,82,8.2,Racing
pro evolution soccer 2011,2010,2.41,77,6.8,Sports
Madden NFL 11,2010,2.38,83,6.1,Sports
Madden NFL 10,2009,2.37,85,6.8,Sports
Batman: Arkham Origins,2013,2.29,76,7.7,Action
LEGO Star Wars: The Complete Saga,2007,2.29,80,6.7,Action
Pro Evolution Soccer 2010,2009,2.28,78,6.7,Sports
Dead Island,2011,2.27,71,6.6,Action
Sonic's Ultimate Genesis Collection,2009,2.26,80,8.6,Misc
Madden NFL 12,2011,2.25,79,5.5,Sports
God of War: Ascension,2013,2.25,80,7.5,Action
Guitar Hero III: Legends of Rock,2007,2.24,83,7.8,Misc
Borderlands 2,2012,2.23,91,8.2,Shooter
Star Wars: The Force Unleashed,2008,2.21,71,6.6,Action
Pro Evolution Soccer 2012,2011,2.19,80,6.6,Action
Hitman: Absolution,2012,2.14,83,7.5,Action
NBA 2K12,2011,2.11,90,6.7,Sports
NBA 2K14,2013,2.11,84,4.9,Sports
Borderlands,2009,2.09,83,7.9,Shooter
Need For Speed: Undercover,2008,2.05,59,5.9,Racing
Need for Speed: ProStreet,2007,2.04,73,6.0,Racing
Dark Souls,2011,2.02,89,8.7,Role-Playing
Need for Speed: The Run,2011,2.01,64,6.4,Action
Dead Space,2008,2.0,88,8.8,Action
Mortal Kombat vs. DC Universe,2008,2.0,76,7.1,Fighting
Skate 3,2010,1.98,80,7.6,Sports
Burnout Paradise,2008,1.94,87,7.7,Racing
The Sims 3,2010,1.94,78,6.4,Simulation
Guitar Hero: World Tour,2008,1.92,84,7.5,Misc
Diablo III,2013,1.91,86,6.4,Role-Playing
Madden NFL 09,2008,1.88,85,4.4,Sports
Madden NFL 25,2013,1.87,76,4.1,Sports
Max Payne 3,2012,1.85,87,7.8,Shooter
LEGO Marvel Super Heroes,2013,1.84,82,7.9,Action
inFAMOUS 2,2011,1.82,83,8.4,Action
Demon's Souls,2009,1.82,89,8.9,Role-Playing
NBA 2K11,2010,1.8,89,7.6,Action
UFC 2009 Undisputed,2009,1.76,84,8.1,Fighting
Just Cause 2,2010,1.75,83,8.0,Action
FIFA Soccer 08,2007,1.75,81,7.1,Sports
Dragon's Dogma,2012,1.74,78,8.3,Role-Playing
Portal 2,2011,1.7,95,8.4,Shooter
BioShock Infinite,2013,1.69,94,8.5,Shooter
Saints Row 2,2008,1.68,82,7.9,Action
Dragon Age: Origins,2009,1.67,87,7.9,Role-Playing
Fight Night Round 3,2006,1.67,83,7.9,Fighting
Heavenly Sword,2007,1.65,79,8.3,Action
Beyond: Two Souls,2013,1.63,70,8.1,Adventure
Rock Band,N/A,1.62,92,8.4,Misc
Pro Evolution Soccer 2008,2007,1.59,74,6.1,Sports
Sonic Generations,2011,1.58,76,8.2,Platform
Devil May Cry 4,2008,1.57,84,8.2,Action
BioShock 2,2010,1.54,88,8.2,Shooter
Pro Evolution Soccer 2013,2012,1.53,82,6.7,Sports
Dishonored,2012,1.53,89,7.9,Action
Fight Night Round 4,2009,1.52,88,7.6,Fighting
Ni no Kuni: Wrath of the White Witch,2011,1.51,85,8.6,Role-Playing
Call of Duty 3,2006,1.5,80,6.9,Shooter
Star Wars: The Force Unleashed II,2010,1.5,63,6.8,Action
Rock Band 2,2008,1.49,91,7.9,Misc
Mafia II,2010,1.49,75,7.7,Action
Resistance 3,2011,1.48,83,7.8,Shooter
SoulCalibur IV,2008,1.46,85,7.9,Fighting
Mass Effect 2,2011,1.45,94,8.5,Role-Playing
BioShock,2008,1.42,94,8.7,Shooter
Mass Effect 3,2012,1.42,93,5.5,Role-Playing
Dead Space 2,2011,1.42,89,8.4,Shooter
Metal Gear Rising: Revengeance,2013,1.42,80,7.9,Action
UFC Undisputed 2010,2010,1.41,85,7.2,Fighting
Medal of Honor: Warfighter,2012,1.41,55,6.0,Action
Far Cry 2,2008,1.38,85,6.4,Action
Deus Ex: Human Revolution,2011,1.37,89,8.2,Shooter
Dead Rising 2,2010,1.36,80,6.7,Action
Ridge Racer 7,2006,1.36,78,7.1,Racing
WWE '13,2012,1.35,76,8.1,Action
MotorStorm: Pacific Rift,2008,1.35,82,8.0,Racing
Tom Clancy's Rainbow Six: Vegas 2,2008,1.34,81,7.9,Shooter
Marvel vs. Capcom 3: Fate of Two Worlds,2011,1.34,84,7.3,Fighting
F1 2010,2010,1.34,84,7.8,Racing
Battlefield: Bad Company,2008,1.34,84,8.1,Shooter
WWE SmackDown vs Raw 2008,2007,1.33,74,7.3,Fighting
Rage,2011,1.31,81,6.2,Shooter
LEGO Harry Potter: Years 1-4,2010,1.31,79,8.0,Action
LEGO Batman: The Videogame,2008,1.29,75,7.7,Action
Crysis 2,2011,1.29,85,7.2,Action
Assassin's Creed: Rogue,2014,1.29,72,7.5,Action
Dark Souls II,2014,1.27,91,8.1,Role-Playing
Valkyria Chronicles,2008,1.27,86,8.6,Role-Playing
Final Fantasy X / X-2 HD Remaster,2013,1.27,85,8.5,Role-Playing
Need for Speed Rivals,2013,1.27,80,4.9,Racing
Tomb Raider: Underworld,2008,1.26,75,7.2,Action
Saints Row IV,2013,1.25,76,6.3,Action
SOCOM: U.S. Navy SEALs Confrontation,2008,1.25,63,6.9,Shooter
Tom Clancy's Rainbow Six: Vegas,2007,1.25,86,7.6,Shooter
[Prototype],2009,1.24,79,7.7,Action
FIFA Street,2012,1.23,76,6.4,Sports
Need for Speed Carbon,2006,1.23,75,7.3,Racing
2010 FIFA World Cup South Africa,2010,1.23,82,7.8,Sports
Tales of Xillia,2011,1.22,78,8.2,Role-Playing
Naruto Shippuden: Ultimate Ninja Storm 2,2010,1.21,76,8.3,Fighting
Medal of Honor: Airborne,2007,1.21,75,7.6,Shooter
Bayonetta,2009,1.21,87,7.7,Action
F1 2011,2011,1.2,82,7.1,Racing
LEGO Batman 2: DC Super Heroes,2012,1.19,81,7.5,Action
Injustice: Gods Among Us,2013,1.18,78,7.9,Fighting
One Piece: Pirate Warriors,2012,1.18,64,6.5,Action
Resident Evil: Operation Raccoon City,2012,1.17,52,4.9,Action
WWE '12,2011,1.17,72,6.9,Fighting
WWE SmackDown vs. Raw 2010,2009,1.17,81,8.1,Fighting
Army of Two,2008,1.17,74,7.3,Shooter
LEGO Star Wars III: The Clone Wars,2011,1.16,76,7.3,Action
Sonic the Hedgehog,2006,1.16,43,4.1,Platform
Ninja Gaiden Sigma,2007,1.14,88,7.5,Action
WWE 2K14,2013,1.14,74,7.5,Sports
007: Quantum of Solace,2008,1.14,65,6.6,Action
Hot Shots Golf: Out of Bounds,2007,1.14,81,8.8,Sports
Mirror's Edge,2008,1.13,79,7.8,Platform
SingStar,2007,1.13,82,5.9,Misc
ModNation Racers,2010,1.12,82,8.4,Racing
Rocksmith,2011,1.12,80,8.3,Misc
Yakuza 3,2009,1.12,79,8.1,Action
The Beatles: Rock Band,2009,1.12,88,8.7,Misc
Fight Night Champion,2011,1.11,84,7.3,Fighting
Castlevania: Lords of Shadow,2010,1.1,85,8.0,Action
GRID,2008,1.1,87,8.1,Racing
Guitar Hero 5,2009,1.09,86,5.7,Misc
WWE SmackDown vs. Raw 2011,2010,1.09,74,6.9,Fighting
Virtua Fighter 5,2007,1.08,85,7.4,Fighting
Dante's Inferno,2010,1.08,75,7.5,Action
Prince of Persia,2008,1.07,85,7.3,Action
Naruto: Ultimate Ninja Storm,2008,1.07,75,8.6,Fighting
Lightning Returns: Final Fantasy XIII,2013,1.07,66,5.9,Role-Playing
The Orange Box,2007,1.06,89,8.4,Shooter
Skylanders Giants,2012,1.06,77,6.3,Action
Warhawk,2007,1.06,84,8.4,Simulation
DiRT 3,2011,1.06,87,7.1,Racing
DiRT,2007,1.05,83,8.0,Racing
LEGO The Lord of the Rings,2012,1.05,82,8.3,Action
Virtua Tennis 3,2007,1.05,80,7.9,Sports
Sleeping Dogs,2012,1.04,83,7.7,Action
Aliens vs Predator,2010,1.04,65,7.3,Shooter
F1 2012,2012,1.03,81,7.5,Racing
UFC Undisputed 3,2012,1.03,86,7.4,Action
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007,1.03,84,8.1,Shooter
LEGO Indiana Jones: The Original Adventures,2008,1.03,77,7.7,Action
Sonic Unleashed,2008,1.02,54,7.9,Platform
Skylanders SWAP Force,2013,1.02,83,5.3,Platform
Rayman Origins,2011,1.0,87,8.4,Platform
Haze,2008,0.99,55,6.5,Shooter
DiRT 2,2009,0.99,87,8.2,Racing
Guitar Hero: Aerosmith,2008,0.99,70,5.0,Misc
EyePet,2009,0.99,70,8.2,Simulation
Tales of Graces f,2010,0.98,77,8.2,Role-Playing
Madden NFL 08,2007,0.97,81,5.3,Sports
Disney Infinity,2013,0.97,75,5.9,Action
Dead Space 3,2013,0.96,76,6.4,Action
Sniper Elite V2,2012,0.96,70,6.9,Shooter
PlayStation All-Stars Battle Royale,2012,0.95,74,7.3,Action
Pro Evolution Soccer 2014,2013,0.95,78,4.1,Action
Yakuza 4,N/A,0.95,78,8.0,Action
Tom Clancy's Ghost Recon: Future Soldier,2012,0.95,79,6.9,Shooter
Driver: San Francisco,2011,0.95,79,7.7,Racing
Lost Planet 2,2010,0.95,68,6.9,Shooter
LEGO Pirates of the Caribbean: The Video Game,2011,0.95,73,7.1,Action
Tom Clancy's Splinter Cell: Blacklist,2013,0.94,84,7.7,Action
Skylanders: Spyro's Adventure,2011,0.94,77,4.8,Action
WWE SmackDown vs. Raw 2009,2008,0.94,78,7.0,Fighting
Brutal Legend,2009,0.94,83,7.6,Action
Naruto Shippuden: Ultimate Ninja Storm 3,2013,0.93,77,7.9,Fighting
White Knight Chronicles: International Edition,2008,0.93,64,7.5,Role-Playing
SingStar Abba,2008,0.93,70,5.5,Misc
Brothers in Arms: Hell's Highway,2008,0.93,76,8.0,Shooter
The LEGO Movie Videogame,2014,0.93,80,6.8,Action
South Park: The Stick of Truth,2014,0.92,85,8.5,Role-Playing
MLB 12: The Show,2012,0.92,87,7.5,Sports
EA Sports Active 2,2010,0.91,78,5.4,Sports
LEGO Harry Potter: Years 5-7,N/A,0.91,76,8.3,Action
Dynasty Warriors 7,2011,0.91,57,7.4,Action
SSX,2012,0.91,81,6.8,Sports
Operation Flashpoint: Dragon Rising,2009,0.91,76,6.5,Shooter
Homefront,2011,0.9,70,5.7,Shooter
MX vs. ATV Reflex,2009,0.9,74,7.4,Racing
DJ Hero,2009,0.9,86,7.8,Misc
SOCOM 4: U.S. Navy SEALs,2011,0.89,67,6.3,Shooter
Pure,2008,0.89,83,7.8,Racing
Tiger Woods PGA Tour 12: The Masters,2011,0.89,80,7.3,Sports
LEGO Indiana Jones 2: The Adventure Continues,2009,0.89,70,7.1,Action
NCAA Football 13,2012,0.89,79,4.1,Action
The Simpsons Game,2007,0.88,71,7.5,Action
The Tomb Raider Trilogy,2011,0.88,78,8.1,Action
Call of Juarez: Bound in Blood,2009,0.88,78,7.8,Shooter
LittleBigPlanet Karting,2012,0.87,73,6.9,Action
Crysis 3,2013,0.87,77,6.3,Shooter
Mercenaries 2: World in Flames,2008,0.87,72,7.1,Shooter
Kingdoms of Amalur: Reckoning,2012,0.85,81,7.6,Role-Playing
Dragon Ball Z: Burst Limit,2008,0.85,71,7.2,Fighting
Tekken Tag Tournament 2,2012,0.85,82,8.2,Fighting
Ninja Gaiden Sigma 2,2009,0.85,83,7.7,Action
NCAA Football 11,2010,0.85,85,7.4,Sports
Army of Two: The 40th Day,2010,0.85,74,7.0,Shooter
Darksiders II,2012,0.84,84,7.1,Action
 Tales of Xillia 2,2012,0.84,71,7.9,Role-Playing
Ghostbusters: The Video Game,2009,0.84,78,7.9,Action
NBA 2K10,2009,0.84,83,7.8,Sports
Skate 2,2009,0.84,84,7.8,Sports
NCAA Football 14,2013,0.84,77,6.2,Sports
Time Crisis 4,2007,0.83,60,7.4,Shooter
NCAA Football 12,2011,0.83,82,5.8,Sports
Tiger Woods PGA Tour 11,2010,0.83,78,6.7,Sports
Street Fighter X Tekken,2012,0.83,84,5.3,Fighting
Dragon Age II,2011,0.83,82,4.3,Action
Devil May Cry HD Collection,2012,0.82,74,8.8,Action
The Lord of the Rings: War in the North,N/A,0.82,63,7.0,Action
NCAA Football 10,2009,0.81,80,6.9,Sports
Guitar Hero: Warriors of Rock,2010,0.81,74,7.1,Misc
Dragon Ball: Raging Blast 2,2010,0.81,60,7.5,Fighting
DmC: Devil May Cry,2013,0.79,85,5.3,Action
Sniper: Ghost Warrior,2011,0.79,53,6.0,Shooter
WWE 2K15,2014,0.78,55,3.1,Sports
Tiger Woods PGA Tour 10,2009,0.78,81,7.7,Sports
Sid Meier's Civilization Revolution,2008,0.78,85,7.7,Strategy
Goldeneye 007: Reloaded,2011,0.78,72,6.3,Shooter
Dragon Ball: Raging Blast,2009,0.77,57,7.2,Fighting
Duke Nukem Forever,2011,0.76,51,4.9,Shooter
Genji: Days of the Blade,2006,0.75,55,5.8,Action
DJ Hero 2,2010,0.75,86,7.8,Misc
SoulCalibur V,2012,0.75,81,6.7,Fighting
The Lord of the Rings: Conquest,2009,0.74,54,7.1,Action
Band Hero,2009,0.74,76,5.7,Misc
The Godfather II,2009,0.74,67,7.2,Action
[Prototype 2],2012,0.74,79,6.8,Action
Resident Evil: Revelations,2013,0.74,74,7.2,Action
Red Faction: Guerrilla,2009,0.74,85,8.1,Shooter
Ace Combat: Assault Horizon,2011,0.74,77,6.7,Action
MLB 13: The Show,2013,0.74,87,7.8,Sports
Marvel: Ultimate Alliance 2,2009,0.73,74,7.3,Role-Playing
Resonance of Fate,2010,0.73,72,8.0,Role-Playing
Pirates of the Caribbean: At World's End,2007,0.73,55,6.9,Action
Tiger Woods PGA Tour 08,2007,0.73,79,6.6,Sports
Persona 4: Arena,2012,0.73,86,7.7,Fighting
Brink,2011,0.73,72,5.8,Shooter
Naruto Shippuden: Ultimate Ninja Storm Generations,2012,0.73,74,7.1,Fighting
Star Ocean: The Last Hope International,2010,0.72,74,6.7,Role-Playing
MLB 09: The Show,2009,0.72,90,8.1,Sports
MLB 10: The Show,2010,0.72,91,8.3,Sports
Blur,2010,0.72,81,8.2,Racing
Dynasty Warriors 6,2007,0.71,59,7.3,Action
Catherine,2011,0.7,79,8.1,Adventure
MLB 08: The Show,2008,0.7,85,8.7,Sports
James Bond 007: Blood Stone,2010,0.7,65,7.4,Shooter
Prince of Persia: The Forgotten Sands,2010,0.69,75,7.6,Action
Top Spin 4,2011,0.69,82,7.7,Sports
IL-2 Sturmovik: Birds of Prey,2009,0.68,81,7.3,Simulation
The Sly Collection,2010,0.68,85,8.8,Platform
Iron Man,2008,0.68,42,6.2,Action
Spider-Man 3,2007,0.67,60,7.0,Platform
Turok,2008,0.67,67,6.0,Action
Unreal Tournament III,2007,0.67,86,7.7,Shooter
Blazing Angels: Squadrons of WWII,2006,0.66,67,6.9,Simulation
The Darkness,2007,0.66,80,7.7,Shooter
Lollipop Chainsaw,2012,0.66,67,7.1,Action
Tom Clancy's EndWar,2008,0.66,76,6.6,Strategy
Fist of the North Star: Ken's Rage,2010,0.66,60,6.9,Action
One Piece: Pirate Warriors 2,2013,0.66,71,7.8,Action
Shaun White Snowboarding,2008,0.65,63,6.3,Sports
Tiger Woods PGA Tour 09,2008,0.65,82,7.2,Sports
Sengoku Basara: Samurai Heroes,2010,0.64,61,7.9,Action
NHL 13,2012,0.64,84,6.8,Sports
Dead or Alive 5,2012,0.64,74,7.7,Fighting
Lost Planet: Extreme Condition,2008,0.64,67,7.0,Shooter
NBA Live 08,2007,0.63,73,6.8,Sports
White Knight Chronicles II,2010,0.63,60,7.1,Role-Playing
Wolfenstein,2009,0.63,71,7.4,Shooter
Sega Rally Revo,2007,0.63,75,7.0,Racing
Tony Hawk's Project 8,2006,0.63,76,7.2,Sports
Test Drive Unlimited 2,N/A,0.62,70,6.1,Racing
Just Dance 3,2011,0.62,75,6.0,Misc
Guitar Hero: Metallica,2009,0.62,86,8.0,Misc
Warriors Orochi 3,2011,0.62,70,7.9,Action
NieR,2010,0.61,68,8.4,Role-Playing
2014 FIFA World Cup Brazil,2014,0.61,73,4.3,Sports
NBA 2K9,2008,0.61,82,7.0,Sports
Wet,2009,0.61,70,6.4,Shooter
Disney Universe,2011,0.61,70,6.9,Action
Vanquish,2010,0.61,84,8.1,Shooter
Borderlands: The Pre-Sequel,2014,0.61,77,6.3,Shooter
Sacred 2: Fallen Angel,2009,0.61,70,7.1,Role-Playing
Dragon Ball Z: Ultimate Tenkaichi,2011,0.61,58,5.4,Fighting
Aliens: Colonial Marines,2013,0.6,43,3.6,Shooter
Yakuza: Dead Souls,2011,0.6,64,7.4,Shooter
Dead Island: Riptide,2013,0.6,62,5.9,Action
Dynasty Warriors 8,2013,0.6,68,8.5,Action
Tony Hawk: RIDE,2009,0.59,44,2.1,Sports
NHL 11,2010,0.59,88,7.1,Sports
Yakuza 5,2012,0.59,83,8.5,Action
Metal Gear Solid V: Ground Zeroes,2014,0.59,66,5.9,Action
The Fight: Lights Out,2010,0.59,48,7.5,Fighting
NCAA Football 09,2008,0.58,81,7.3,Sports
MLB 11: The Show,2011,0.58,90,7.8,Sports
Alice: Madness Returns,2011,0.58,70,7.9,Adventure
NHL 12,2011,0.58,86,7.5,Sports
JoJo's Bizarre Adventure: All Star Battle,2013,0.58,71,8.3,Fighting
Rayman Legends,2013,0.58,91,8.7,Platform
XCOM: Enemy Unknown,2012,0.57,89,8.2,Strategy
BlazBlue: Calamity Trigger,2009,0.57,87,8.4,Fighting
NHL 10,2009,0.57,88,7.9,Sports
Rock Band 3,2010,0.57,91,8.0,Misc
Disgaea 4: A Promise Unforgotten,2011,0.57,80,7.8,Role-Playing
Doom 3 BFG Edition,2012,0.57,67,6.4,Shooter
Top Spin 3,2008,0.57,75,7.5,Action
3D Dot Game Heroes,2009,0.57,77,8.0,Role-Playing
Tom Clancy's HAWX,2009,0.56,74,8.1,Action
God of War: Origins Collection,2011,0.55,84,8.4,Action
Enslaved: Odyssey to the West,2010,0.55,80,7.4,Action
NBA 2K8,2007,0.55,81,6.8,Sports
Sly Cooper: Thieves in Time,2013,0.54,75,8.3,Platform
Spec Ops: The Line,2012,0.54,77,8.0,Shooter
NHL 14,2013,0.54,80,6.0,Sports
F1 2013,2013,0.54,77,6.3,Racing
Legends of WrestleMania,2009,0.54,70,6.5,Fighting
F.E.A.R.,2007,0.54,72,7.4,Shooter
Tiger Woods PGA Tour 13,2012,0.54,75,5.7,Sports
Dynasty Warriors: Gundam 3,2010,0.54,58,7.5,Action
NBA Live 10,2009,0.54,81,7.5,Sports
Time Crisis: Razing Storm,2010,0.54,58,5.9,Shooter
Dragon's Crown,2013,0.53,82,8.3,Role-Playing
Terminator Salvation,2009,0.53,43,3.9,Shooter
Bulletstorm,2011,0.53,83,7.7,Shooter
Michael Jackson: The Experience,2011,0.52,66,8.4,Misc
Stuntman: Ignition,2007,0.52,76,6.2,Racing
Madden NFL 07,2006,0.52,76,4.2,Sports
NBA Live 09,2008,0.52,75,7.8,Sports
SingStar Dance,2010,0.52,65,3.9,Misc
Disgaea 3: Absence of Justice,2008,0.52,78,7.5,Role-Playing
Way of the Samurai 3,2008,0.52,58,7.9,Action
Kung Fu Panda,2008,0.51,76,7.3,Action
Lair,2007,0.51,53,6.4,Action
