Name,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre
DC Universe Online,2011,0.51,67,7.4,Role-Playing
The Walking Dead: Survival Instinct,2013,0.51,34,3.6,Shooter
Ratatouille,2007,0.51,55,4.8,Action
Lost: Via Domus,2008,0.5,54,6.9,Action
R.U.S.E.,2010,0.5,76,7.3,Strategy
Dynasty Warriors: Gundam 2,2008,0.49,54,7.0,Action
Bleach: Soul Resurreccion,2011,0.49,58,7.2,Fighting
MotorStorm: Apocalypse,2011,0.48,77,7.7,Racing
The Saboteur,2009,0.48,72,8.1,Action
Sonic the Hedgehog,N/A,0.48,43,4.1,Platform
Dynasty Warriors Gundam,2007,0.47,60,6.9,Action
Dark Sector,2008,0.47,72,7.6,Shooter
F.E.A.R. 2: Project Origin,2009,0.47,79,7.9,Shooter
Epic Mickey 2: The Power of Two,2012,0.47,59,4.3,Action
Two Worlds II,2011,0.46,70,7.0,Role-Playing
MX vs. ATV: Alive,2011,0.46,61,6.7,Racing
Silent Hill: Downpour,2012,0.46,64,6.9,Action
MX vs. ATV Untamed,2007,0.46,67,6.1,Racing
Red Faction: Armageddon,2011,0.45,71,7.3,Shooter
F.E.A.R. 3,2011,0.45,74,7.1,Shooter
Deadpool,2013,0.45,61,7.2,Action
"Warhammer 40,000: Space Marine",2011,0.44,70,7.4,Shooter
Virtua Tennis 4,2011,0.44,69,6.6,Sports
Tony Hawk's Proving Ground,2007,0.44,73,6.6,Sports
The Legend of Spyro: Dawn of the Dragon,2008,0.44,59,6.6,Platform
Spider-Man: Shattered Dimensions,2010,0.44,74,7.5,Action
Eternal Sonata,2008,0.44,80,7.8,Role-Playing
Ninja Gaiden 3,2012,0.43,58,5.0,Action
Star Wars The Clone Wars: Republic Heroes,2009,0.43,43,5.3,Action
Naruto Shippuden: Ultimate Ninja Storm Revolution,2014,0.43,73,7.5,Fighting
Naughty Bear,2010,0.43,43,5.5,Action
MLB 14: The Show,2014,0.43,81,6.8,Sports
Hyperdimension Neptunia,2010,0.43,45,7.0,Role-Playing
Payday 2,2013,0.43,74,6.2,Shooter
Just Dance 4,2012,0.43,77,7.1,Misc
Alpha Protocol,2010,0.43,64,6.9,Role-Playing
Def Jam Icon,2007,0.42,68,4.4,Action
Atelier Totori: The Adventurer of Arland,2010,0.42,74,6.7,Role-Playing
Zone of the Enders HD Collection,2012,0.42,73,8.0,Simulation
Metro: Last Light,2013,0.42,80,8.2,Action
LEGO Rock Band,2009,0.42,75,7.6,Misc
TRON: Evolution,2010,0.42,58,6.2,Action
Tom Clancy's HAWX 2,2010,0.41,70,6.8,Action
Terraria,2013,0.41,81,7.9,Action
Green Day: Rock Band,2010,0.41,76,6.3,Misc
F1 2014,2014,0.41,62,4.1,Racing
Cars: Mater-National Championship,2007,0.41,63,4.8,Racing
WWE All Stars,2011,0.41,75,6.4,Fighting
BlazBlue: Continuum Shift,2010,0.41,87,8.0,Fighting
Katamari Forever,2009,0.4,74,8.1,Puzzle
Metal Gear Solid: The Legacy Collection,2013,0.4,93,9.0,Adventure
Asura's Wrath,2012,0.4,71,7.4,Action
Wall-E,2008,0.4,51,5.0,Platform
Sega Superstars Tennis,2008,0.4,67,7.4,Sports
Armored Core V,2012,0.39,65,7.3,Simulation
Harry Potter and the Deathly Hallows - Part 1,2010,0.39,38,2.8,Action
NBA Jam,2010,0.39,71,5.7,Sports
Transformers: Fall of Cybertron,2012,0.39,77,8.2,Action
Iron Man 2,2010,0.39,41,5.2,Action
Monopoly Streets,2010,0.39,64,6.1,Misc
Condemned 2: Bloodshot,2008,0.39,82,8.1,Action
Robert Ludlum's The Bourne Conspiracy,N/A,0.39,70,7.6,Action
MotoGP 08,2008,0.39,65,6.0,Racing
Dungeon Siege III,2011,0.39,71,6.3,Role-Playing
Silent Hill: Homecoming,N/A,0.38,71,6.9,Action
Marvel: Ultimate Alliance,2006,0.38,78,7.6,Role-Playing
NCAA Football 08,2007,0.38,77,7.9,Sports
Viking: Battle for Asgard,2008,0.38,65,7.4,Action
Get Fit with Mel B,2010,0.38,73,5.8,Sports
Virtua Tennis 2009,2009,0.38,70,6.3,Sports
Just Dance 2014,2013,0.38,77,7.1,Misc
GRID 2,2013,0.37,82,6.6,Racing
Disney Sing It,2008,0.37,54,3.5,Misc
NBA 2K7,2006,0.37,80,7.4,Sports
EA Sports MMA,2010,0.37,77,6.9,Fighting
Tiger Woods PGA Tour 14,2013,0.37,74,3.8,Sports
Skate,2007,0.37,85,8.2,Sports
SAW,2009,0.36,59,6.4,Action
Bionic Commando,2009,0.36,71,7.4,Platform
Earth Defense Force 2025,2013,0.35,69,7.5,Shooter
Dark Void,2010,0.35,59,6.0,Action
Guitar Hero: Smash Hits,2009,0.35,73,7.2,Misc
Defiance,2013,0.35,59,6.9,Shooter
Enemy Territory: Quake Wars,2008,0.35,60,6.4,Shooter
Transformers: Dark of the Moon,2011,0.34,57,5.6,Action
Mini Ninjas,2009,0.34,73,8.7,Action
Racquet Sports,2010,0.34,45,4.3,Sports
Monopoly,2008,0.34,54,6.7,Misc
Conan,2007,0.34,69,7.2,Action
Dynasty Warriors 6 Empires,2009,0.34,62,7.0,Action
The Shoot,2010,0.34,60,6.2,Shooter
The Eye of Judgment,2007,0.33,75,8.2,Misc
NHL 09,2008,0.33,88,7.7,Sports
NCAA Basketball 10,2009,0.33,75,7.8,Sports
Sniper: Ghost Warrior 2,2013,0.33,52,6.0,Shooter
Cabela's Dangerous Hunts 2011,2010,0.33,60,5.4,Sports
Harry Potter and the Half-Blood Prince,2009,0.33,66,7.1,Action
Binary Domain,2012,0.33,72,8.2,Action
Def Jam Rapstar,2010,0.32,75,6.3,Misc
Golden Axe: Beast Rider,2008,0.32,44,5.6,Action
Remember Me,2013,0.32,72,7.4,Action
Dead Rising 2: Off the Record,2011,0.32,72,7.1,Action
Harry Potter and the Deathly Hallows - Part 2,2011,0.32,43,5.7,Action
FIFA Street 3,2008,0.32,63,6.9,Sports
Operation Flashpoint: Red River,2011,0.32,67,6.3,Shooter
Silent Hill HD Collection,2012,0.32,70,4.8,Action
Folklore,2007,0.32,75,8.2,Role-Playing
The Darkness II,2012,0.32,79,7.6,Shooter
Phineas and Ferb: Across the 2nd Dimension,2011,0.32,63,6.6,Action
Rugby World Cup 2011,2011,0.32,50,5.6,Sports
F1 Race Stars,2012,0.32,61,5.6,Racing
Overlord II,2009,0.32,72,7.6,Action
MLB 07: The Show,2007,0.31,77,7.5,Sports
Drakengard 3,2013,0.31,61,7.7,Role-Playing
Clash of the Titans,2010,0.31,41,1.7,Action
Major League Baseball 2K8,2008,0.31,67,5.6,Sports
Dragon Ball Z: Battle of Z,2014,0.31,54,5.3,Fighting
Monsters vs. Aliens,2009,0.3,66,4.5,Action
BlazBlue: Chrono Phantasma,2013,0.3,83,8.3,Fighting
The King of Fighters XIII,2011,0.3,77,8.2,Fighting
Stranglehold,2007,0.3,77,7.9,Shooter
Fist of the North Star: Ken's Rage 2,2012,0.3,49,7.0,Fighting
Sorcery,2012,0.29,70,7.3,Action
Front Mission Evolved,2010,0.29,58,6.0,Shooter
Dynasty Warriors: Strikeforce,2009,0.29,64,7.3,Action
Wanted: Weapons of Fate,2009,0.29,61,7.1,Shooter
Starhawk,2012,0.29,77,7.8,Action
Call of Juarez: The Cartel,2011,0.29,45,5.5,Shooter
Angry Birds Star Wars,2013,0.29,49,3.6,Strategy
Majin and the Forsaken Kingdom,2010,0.29,72,7.9,Adventure
The Golden Compass,2007,0.28,40,4.8,Action
Hatsune Miku: Project Diva f,2013,0.28,73,8.4,Misc
Bladestorm: The Hundred Years' War,2007,0.28,58,7.9,Action
Dead to Rights: Retribution,2010,0.28,60,5.9,Shooter
El Shaddai: Ascension of the Metatron,2011,0.28,78,7.5,Action
Tony Hawk: Shred,2010,0.28,56,6.7,Sports
Trivial Pursuit,2009,0.28,66,7.1,Misc
Medieval Moves: Deadmund's Quest,2011,0.28,61,6.5,Action
One Piece: Unlimited World Red,2014,0.28,71,7.3,Action
Army of Two: The Devil's Cartel,2013,0.28,58,6.7,Shooter
Guitar Hero: Van Halen,2009,0.27,59,4.7,Misc
Siren: Blood Curse,2008,0.27,78,8.1,Action
NASCAR 2011: The Game,2011,0.27,62,3.7,Racing
Shadows of the Damned,2011,0.27,77,8.1,Action
Rock Revolution,N/A,0.27,42,6.6,Misc
NBA 07,2006,0.27,63,6.3,Sports
Family Guy: Back to the Multiverse,2012,0.26,40,6.4,Action
The Incredible Hulk,2008,0.26,55,6.8,Action
The Adventures of Tintin: The Game,2011,0.26,59,5.7,Action
Dynasty Warriors 7: Xtreme Legends,2011,0.26,64,7.8,Action
Spider-Man: Web of Shadows,2008,0.26,67,7.9,Action
Atelier Ayesha: The Alchemist of Dusk,2012,0.26,70,6.6,Role-Playing
Tokyo Jungle,2012,0.26,74,8.4,Action
Puppeteer,2013,0.26,80,8.5,Platform
Tom Clancy's Splinter Cell: Double Agent,2007,0.26,78,6.5,Action
NASCAR 09,2008,0.25,65,7.5,Racing
NHL 08,2007,0.25,86,6.9,Action
Juiced 2: Hot Import Nights,2007,0.25,71,6.4,Racing
Hunted: The Demon's Forge,2011,0.25,57,6.2,Action
Prison Break: The Conspiracy,2010,0.25,42,3.8,Action
Up,2009,0.25,65,6.5,Action
Hatsune Miku: Project Diva F 2nd,2014,0.25,78,8.6,Misc
The Bureau: XCOM Declassified,2013,0.25,69,6.7,Shooter
SBK Superbike World Championship,2008,0.25,59,6.1,Racing
Major League Baseball 2K7,2007,0.25,74,4.7,Sports
The Chronicles of Riddick: Assault on Dark Athena,2009,0.25,80,7.7,Shooter
TV Superstars,2010,0.25,56,4.9,Misc
Turning Point: Fall of Liberty,2008,0.24,42,5.5,Shooter
Fuel,2009,0.24,67,7.4,Racing
AC/DC LIVE: Rock Band Track Pack,2008,0.24,60,5.3,Misc
Singularity,N/A,0.24,77,7.7,Shooter
X-Men: Destiny,2011,0.24,50,4.8,Action
Harry Potter and the Order of the Phoenix,2007,0.24,67,6.6,Action
The Testament of Sherlock Holmes,2012,0.24,65,7.4,Adventure
Game of Thrones,2012,0.24,53,5.5,Role-Playing
Pure Futbol,2010,0.24,46,7.5,Sports
Ar tonelico Qoga: Knell of Ar Ciel,2010,0.24,61,5.4,Role-Playing
Birds of Steel,2012,0.23,73,8.4,Simulation
Bakugan: Battle Brawlers,2009,0.23,63,8.2,Action
Dynasty Warriors: Gundam Reborn,2013,0.23,64,7.5,Action
The Club,2008,0.23,72,6.5,Shooter
Cross Edge,2008,0.23,52,7.2,Role-Playing
Madagascar: Escape 2 Africa,2008,0.23,58,6.8,Action
NASCAR 08,2007,0.23,57,5.0,Racing
Grand Slam Tennis 2,2012,0.23,73,5.2,Sports
Carnival Island,2011,0.23,66,5.2,Misc
Rune Factory: Tides of Destiny,2011,0.23,55,7.9,Role-Playing
Saint Seiya: Sanctuary Battle,2011,0.23,62,7.3,Action
Killer is Dead,2013,0.23,64,7.9,Action
Spider-Man: Edge of Time,2011,0.22,58,7.2,Action
G-Force,2009,0.22,68,7.6,Action
Risen 2: Dark Waters,2012,0.22,47,5.2,Role-Playing
MotoGP 09/10,2010,0.22,70,5.4,Racing
Child of Eden,2011,0.22,81,7.8,Shooter
Pinball Hall of Fame: The Williams Collection,2009,0.22,82,7.9,Misc
Afrika,2008,0.22,63,6.2,Adventure
Journey,2012,0.21,92,8.8,Adventure
SBK X: Superbike World Championship,2010,0.21,73,7.5,Racing
Disgaea D2: A Brighter Darkness,2013,0.21,74,8.1,Role-Playing
Baja: Edge of Control,2008,0.21,61,5.0,Racing
G.I. Joe: The Rise of Cobra,2009,0.21,43,4.8,Action
Hitman: HD Trilogy,2013,0.21,71,7.6,Action
de Blob 2,2011,0.21,74,7.1,Platform
Lost Planet 3,2013,0.21,61,5.5,Shooter
Anarchy Reigns,2012,0.2,71,8.2,Action
Mobile Suit Gundam: Crossfire,2006,0.2,33,5.1,Simulation
Enchanted Arms,2007,0.2,64,5.9,Role-Playing
The Witch and the Hundred Knight,2013,0.2,53,7.5,Role-Playing
Major League Baseball 2K11,2011,0.2,72,6.3,Sports
Kung Fu Rider,2010,0.2,36,3.7,Action
WRC: FIA World Rally Championship,N/A,0.2,68,4.5,Racing
The Legend of Heroes: Trails of Cold Steel,2013,0.2,86,7.7,Role-Playing
Clive Barker's Jericho,2007,0.2,60,7.1,Shooter
Apache: Air Assault,2010,0.2,66,6.1,Simulation
Earth Defense Force: Insect Armageddon,2011,0.2,63,7.0,Shooter
Afro Samurai,2009,0.2,65,6.1,Action
Untold Legends: Dark Kingdom,2006,0.2,58,7.2,Role-Playing
Plants vs. Zombies,2011,0.2,85,7.9,Strategy
Arcana Heart 3,2011,0.2,73,7.5,Fighting
Armored Core 4,2006,0.2,65,6.8,Simulation
Castlevania: Lords of Shadow 2,2014,0.2,63,7.8,Action
Way of the Samurai 4,2011,0.19,58,6.5,Action
Major League Baseball 2K12,2012,0.19,68,4.4,Sports
UFC Personal Trainer: The Ultimate Fitness System,2011,0.19,65,2.4,Sports
No More Heroes: Heroes' Paradise,2010,0.19,72,7.3,Action
Captain America: Super Soldier,2011,0.19,61,7.3,Action
Shrek: Forever After,2010,0.19,57,4.5,Platform
Quantum Theory,2010,0.19,43,5.3,Shooter
50 Cent: Blood on the Sand,2009,0.19,72,7.2,Shooter
Armored Core: For Answer,2008,0.19,62,7.6,Simulation
Shaun White Skateboarding,2010,0.19,61,6.5,Sports
Conflict: Denied Ops,2008,0.19,51,3.1,Shooter
Ice Age: Dawn of the Dinosaurs,2009,0.19,67,7.3,Action
Bolt,2008,0.19,59,6.8,Adventure
Major League Baseball 2K10,2010,0.19,74,5.3,Sports
Warriors: Legends of Troy,2011,0.19,44,7.0,Action
Rango: The Video Game,2011,0.19,65,6.4,Action
Fairy Fencer F,2013,0.19,65,7.4,Role-Playing
Heavy Fire: Afghanistan,2011,0.18,39,3.3,Shooter
Atelier Shallie: Alchemists of the Dusk Sea,2014,0.18,76,7.7,Role-Playing
CSI: Fatal Conspiracy,2010,0.18,39,5.6,Adventure
GRID Autosport,2014,0.18,75,6.8,Racing
Trinity Universe,2009,0.18,62,7.2,Role-Playing
You Don't Know Jack,2011,0.18,82,7.3,Misc
College Hoops 2K7,2007,0.18,81,7.1,Sports
DiRT Showdown,2012,0.18,75,6.3,Racing
Full Auto 2: Battlelines,2006,0.18,67,7.6,Racing
How to Train Your Dragon,2010,0.18,51,7.0,Action
MindJack,2011,0.18,44,1.7,Shooter
Rapala Fishing Frenzy 2009,2008,0.17,31,4.4,Sports
Major League Baseball 2K9,2009,0.17,61,4.0,Sports
Backbreaker,N/A,0.17,58,7.0,Sports
Stormrise,2009,0.17,51,5.3,Strategy
PlayStation Move Heroes,2011,0.17,53,6.1,Platform
The Chronicles of Narnia: Prince Caspian,2008,0.17,56,5.6,Action
MotoGP 10/11,2011,0.17,68,6.1,Racing
The Lord of the Rings: Aragorn's Quest,2010,0.17,58,6.0,Action
FaceBreaker,2008,0.17,53,3.8,Fighting
Hellboy: The Science of Evil,2008,0.17,47,6.1,Action
Fairytale Fights,2009,0.17,53,6.0,Action
Time and Eternity,2012,0.17,42,5.0,Role-Playing
The Cursed Crusade,2011,0.17,45,5.0,Action
Ridge Racer Unbounded,2012,0.17,72,6.0,Racing
Green Lantern: Rise of the Manhunters,2011,0.17,61,6.7,Action
Dengeki Bunko Fighting Climax,2014,0.16,66,8.2,Fighting
Splatterhouse,N/A,0.16,59,7.7,Action
Angry Birds Trilogy,2012,0.16,66,3.7,Action
NPPL: Championship Paintball 2009,2008,0.16,45,7.4,Shooter
Beowulf: The Game,2007,0.16,51,5.2,Action
The BIGS,2007,0.16,77,7.2,Sports
Fracture,2008,0.16,62,5.8,Shooter
Hyperdimension Neptunia Victory,2012,0.16,55,7.8,Role-Playing
The King of Fighters XII,2009,0.16,57,5.3,Fighting
Create,2010,0.16,61,5.2,Action
TimeShift,2007,0.16,70,6.3,Shooter
Heroes over Europe,2009,0.16,62,7.0,Simulation
Ar Nosurge: Ode to an Unborn Star,2014,0.16,67,7.8,Role-Playing
Dynasty Warriors 8: Xtreme Legends,2013,0.16,68,6.8,Action
All-Pro Football 2K8,2007,0.15,73,7.3,Sports
Mugen Souls,2012,0.15,55,7.3,Role-Playing
NBA Street Homecourt,2007,0.15,81,6.5,Sports
Blitz: The League II,2008,0.15,62,7.5,Sports
NHL 2K10,2009,0.15,66,7.1,Sports
Tears to Tiara II: Heir of the Overlord,2013,0.15,65,8.7,Role-Playing
NBA 09: The Inside,2008,0.15,63,5.1,Sports
Fantastic Four: Rise of the Silver Surfer,2007,0.15,47,6.2,Action
Megamind: Ultimate Showdown,2010,0.15,43,4.2,Action
High Velocity Bowling,2010,0.15,66,8.1,Sports
Blazing Angels 2: Secret Missions of WWII,2007,0.15,70,7.2,Simulation
The Legend of Heroes: Trails of Cold Steel II,2014,0.15,90,7.8,Role-Playing
Soldier of Fortune: Payback,2007,0.15,50,5.4,Shooter
Record of Agarest War 2,2010,0.14,56,7.2,Role-Playing
Syndicate,2012,0.14,75,6.5,Shooter
Bejeweled 3,N/A,0.14,76,8.2,Puzzle
Farming Simulator 2013,2013,0.14,40,2.9,Simulation
NFL Head Coach 09,2008,0.14,64,7.1,Sports
Thor: God of Thunder,2011,0.14,39,4.4,Action
Power Gig: Rise of the SixString,2010,0.14,36,0.5,Misc
TRINITY: Souls of Zill O'll,2010,0.14,55,6.2,Role-Playing
College Hoops 2K8,2007,0.14,82,5.2,Sports
Dynasty Warriors 7: Empires,2012,0.14,63,8.0,Action
NBA Ballers: Chosen One,2008,0.14,54,6.5,Sports
Persona 4: Arena Ultimax,2014,0.14,84,8.1,Fighting
Rogue Warrior,2009,0.13,27,2.8,Shooter
X-Blades,2009,0.13,50,5.9,Action
Alone in the Dark: Inferno,2008,0.13,69,5.6,Adventure
The BIGS 2,2009,0.13,80,7.6,Sports
NBA 08,2007,0.13,63,6.0,Sports
Legendary,2008,0.13,50,7.1,Shooter
Cabela's Dangerous Hunts 2009,2008,0.13,39,1.8,Sports
Eat Lead: The Return of Matt Hazard,2009,0.13,51,6.5,Shooter
NeverDead,2012,0.12,50,4.7,Shooter
NHL 2K7,2006,0.12,79,6.6,Sports
Record of Agarest War Zero,N/A,0.12,50,6.7,Strategy
Everybody Dance,2011,0.12,66,6.8,Misc
NCIS,2011,0.12,50,4.0,Adventure
Supremacy MMA,2011,0.12,47,6.5,Fighting
Venetica,2010,0.12,47,6.5,Role-Playing
Overlord: Raising Hell,2008,0.12,72,7.7,Action
nail'd,2010,0.12,66,6.2,Racing
Armored Core: Verdict Day,2013,0.12,66,7.4,Simulation
Deception IV: Blood Ties,2014,0.11,70,8.2,Action
JASF: Jane's Advanced Strike Fighters,2011,0.11,41,3.1,Simulation
John Daly's ProStroke Golf,2010,0.11,58,4.1,Sports
Bodycount,2011,0.11,50,3.5,Shooter
NASCAR '14,2014,0.11,67,4.6,Racing
Where the Wild Things Are,2009,0.11,53,4.8,Platform
Aquapazza: Aquaplus Dream Match,2012,0.11,75,7.8,Fighting
Lucha Libre AAA: Heroes del Ring,2010,0.11,54,7.1,Fighting
Sacred 3,2014,0.1,56,3.4,Role-Playing
Cloudy With a Chance of Meatballs,2009,0.1,66,6.0,Platform
Leisure Suit Larry: Box Office Bust,2009,0.1,17,1.7,Adventure
Blades of Time,2012,0.1,53,7.2,Action
Ultimate Marvel vs. Capcom 3,2011,0.09,80,6.2,Fighting
Pac-Man and the Ghostly Adventures 2,2014,0.09,59,6.3,Adventure
NCAA March Madness 08,2007,0.09,67,3.8,Sports
Digimon All-Star Rumble,2014,0.09,49,5.8,Fighting
Yaiba: Ninja Gaiden Z,2014,0.09,43,4.5,Action
Last Rebellion,2010,0.09,44,4.6,Role-Playing
Tornado Outbreak,2009,0.09,69,7.6,Action
Back to the Future: The Game,2011,0.09,66,6.8,Adventure
Damnation,2009,0.09,36,2.8,Shooter
Blazblue: Continuum Shift Extend,2011,0.09,73,7.5,Fighting
Puss in Boots,2011,0.09,70,7.0,Action
NASCAR The Game: Inside Line,2012,0.08,76,4.5,Racing
Blacksite: Area 51,2007,0.08,56,6.3,Shooter
ShellShock 2: Blood Trails,2009,0.08,35,4.8,Shooter
Knights Contract,2011,0.08,51,6.0,Action
Risen 3: Titan Lords,2014,0.08,36,3.7,Role-Playing
PAC-MAN and the Ghostly Adventures,2013,0.08,51,3.1,Platform
MLB Front Office Manager,2009,0.08,49,6.5,Sports
Jimmie Johnson's Anything With an Engine,2011,0.08,67,6.8,Racing
Lost Dimension,2014,0.07,71,7.3,Role-Playing
The History Channel: Battle for the Pacific,2008,0.07,36,2.4,Shooter
Blood Drive,2010,0.07,47,7.0,Racing
Escape Dead Island,2014,0.07,40,3.5,Action
Record of Agarest War,2007,0.07,67,6.8,Role-Playing
Saint Seiya: Brave Soldiers,2013,0.07,55,7.4,Fighting
Mugen Souls Z,2013,0.07,57,6.4,Role-Playing
Inversion,2012,0.07,56,5.4,Shooter
Top Gun,2011,0.07,49,4.4,Simulation
The Guided Fate Paradox,2013,0.07,74,7.8,Role-Playing
WipEout HD Fury,2009,0.07,89,8.4,Racing
Steins;Gate,2012,0.06,83,8.7,Adventure
Vampire Rain: Altered Species,2008,0.06,30,3.5,Action
Tokyo Twilight Ghost Hunters,2014,0.06,64,6.4,Role-Playing
Enemy Front,2014,0.05,43,6.0,Shooter
Hail to the Chimp,2008,0.05,51,4.5,Misc
DuckTales: Remastered,2013,0.05,75,7.4,Action
Ride to Hell,2013,0.04,13,1.0,Racing
Test Drive: Ferrari Legends,2012,0.04,62,4.9,Racing
Surf's Up,2007,0.04,59,5.1,Sports
Ferrari Challenge Trofeo Pirelli,2008,0.04,71,6.2,Racing
Legasista,2012,0.04,68,6.3,Role-Playing
Superstars V8 Racing,2009,0.03,66,4.9,Racing
SuperCar Challenge,2009,0.03,65,7.8,Racing
Darkstalkers Resurrection,2013,0.03,80,7.3,Fighting
The Last Guy,2009,0.03,77,6.9,Action
MX vs. ATV Supercross,2014,0.03,58,3.5,Racing
Worms,2009,0.02,76,6.9,Strategy
The Awakened Fate Ultimatum,2014,0.02,65,7.3,Role-Playing
Xblaze: Lost Memories,2015,0.02,63,6.2,Adventure
Battle Princess of Arcadias,2013,0.02,69,7.9,Role-Playing
Tom Clancy's Splinter Cell Classic Trilogy HD,2011,0.02,67,6.8,Action
Darksiders,2010,0.02,82,7.9,Action
Invizimals: The Lost Kingdom,2013,0.02,50,5.0,Action
Don Bradman Cricket 14,2014,0.01,73,6.9,Sports
Madden NFL 13,2012,0.01,83,5.5,Sports
